beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.87025527,1.8107642,0.32939409,0.039781772,0.057303003,0.024850845,0.086944884,2.3502885,2.1868392
0.91975717,1.6377945,0.37977341,0.036679633,0.060657846,0.026358089,0.060747168,2.011356,2.3874283
0.81533864,1.4908065,0.40724121,0.041668376,0.045287301,0.028421949,0.02207588,1.4648863,2.1551163
0.86607376,1.2535702,0.36865574,0.039159875,0.046688784,0.020488138,0.11161474,0.754439,2.2075343
0.79462403,2.075757,0.42670273,0.035724356,0.021335271,0.029499355,0.024632372,0.848296,2.2095911
0.72306895,1.3826009,0.43437797,0.037149675,0.071086414,0.036025946,0.042151041,0.42047061,1.9791262
0.90445392,1.8613065,0.38945103,0.042817804,0.020670005,0.012355475,0.072263676,1.5808823,2.361264
0.89656944,1.7929222,0.38245175,0.049842924,0.017252797,0.015462114,0.085288837,1.6002972,2.3004784
0.7645683,1.4103025,0.36337703,0.042366966,0.026470415,0.043649395,0.081749997,0.48744034,1.9635938
0.7281511,1.5664425,0.38003687,0.045794532,0.027062469,0.024952269,0.029876068,0.47082752,1.9026802
0.75375588,1.2227198,0.35725604,0.030332059,0.042100589,0.083655218,0.047759905,0.6921627,1.9529432
0.87390233,1.8094677,0.44628755,0.035710503,0.02725491,0.0053635008,0.027947442,1.0007473,2.4139352
0.85309676,1.5233512,0.4248963,0.032575287,0.014216005,0.075465276,0.030464937,0.64536521,2.312011
0.81914944,1.8345631,0.36577038,0.049382096,0.092573623,0.0051985414,0.026071259,0.91382318,2.0997049
0.91992031,1.5716251,0.4318108,0.034356468,0.013140767,0.0050809898,0.090234202,1.3733786,2.4845065
0.7908011,1.500754,0.35617232,0.04784654,0.10091194,0.02886746,0.035718374,0.83885224,2.0039602
0.85228654,1.7049433,0.40451878,0.041716165,0.049117978,0.01903594,0.024105325,1.878454,2.2556271
0.73774607,1.60948,0.35287311,0.04220031,0.06482243,0.018905498,0.14085196,0.4961113,1.8999663
0.88425611,1.6804717,0.44365218,0.039770409,0.026206433,0.026526806,0.018523443,1.1315007,2.4047194
0.80666673,1.5858391,0.45139626,0.033007119,0.024803357,0.019124239,0.028131307,0.91988149,2.2461572
0.82304728,1.7025926,0.30148011,0.037244412,0.025425528,0.019143998,0.039800269,1.3918075,2.0369474
0.78786367,1.6503179,0.46005513,0.041962671,0.05595994,0.030669266,0.11602067,0.65408872,2.1842662
0.81752256,1.6422117,0.33908203,0.040027166,0.027262373,0.022009203,0.01784764,0.83821921,2.0713217
0.83834926,1.5303048,0.47773716,0.023088834,0.038247986,0.026567134,0.089726126,0.84664296,2.4106917
0.85606121,1.7602075,0.31171957,0.059507455,0.054273119,0.021281265,0.036000147,0.91631197,2.0700397
0.7993963,1.7213909,0.49218753,0.025308674,0.029360744,0.02577966,0.053055864,0.93304045,2.3477438
0.83317089,1.5102081,0.26845481,0.035506428,0.029814823,0.027023833,0.081441169,0.63404546,2.0056194
0.82261724,1.4907976,0.33518884,0.044533802,0.050724039,0.020872265,0.035639067,0.82902146,2.0554492
0.81309445,1.3624561,0.40860635,0.0342444,0.041294408,0.012407938,0.067586527,0.74014498,2.168067
0.85340097,1.8027843,0.38067112,0.048584934,0.017410371,0.040770468,0.040000074,1.1074771,2.2025552
0.81817961,1.5916167,0.40829783,0.046626211,0.045604067,0.044497169,0.040417734,1.1025536,2.1542192
0.86510871,2.273968,0.37969988,0.040778834,0.055889494,0.025337975,0.033566677,1.4245519,2.2894083
0.76472123,1.0530875,0.34284105,0.048476155,0.011245176,0.052854351,0.050898087,0.63281712,1.8991041
0.89057449,1.7660732,0.32985457,0.045988094,0.01397197,0.010271208,0.047203023,2.0504032,2.2122143
0.82843251,1.4012417,0.42408847,0.035591706,0.055758811,0.043548452,0.058652997,0.49383469,2.2277859
0.79758161,1.5235016,0.40613245,0.047361201,0.03556435,0.020128878,0.038964164,1.3516753,2.0945133
0.773398,1.3113701,0.30617228,0.04260783,0.016046496,0.014038616,0.098897231,0.29555025,1.8999456
0.73266217,1.254097,0.37426629,0.043240714,0.02060408,0.014387215,0.068952192,0.52652268,1.8911949
0.91165328,1.940554,0.40926978,0.039894657,0.049889566,0.018511413,0.011921029,1.7331749,2.4316917
0.69063272,1.1461218,0.34462658,0.04106958,0.032630255,0.014194091,0.031711759,0.57367033,1.7556834
0.85953082,1.7975549,0.46083658,0.038423896,0.067660365,0.015101184,0.084813103,0.86464324,2.3915171
0.74024379,1.9232682,0.42067703,0.047434881,0.02807076,0.013969161,0.014032922,0.96113823,2.0131752
0.79900714,1.2045649,0.39389188,0.029625441,0.031823787,0.025040001,0.068634222,0.41128684,2.1155108
0.81476547,1.7937662,0.43942068,0.038667863,0.022588753,0.0085352368,0.045243786,0.80815388,2.243054
0.7908996,1.9687411,0.30858145,0.038445482,0.032530846,0.026800107,0.012886718,1.0682011,1.9853999
0.89739298,1.6520911,0.41830876,0.038834947,0.015113521,0.013204786,0.039758777,0.60455057,2.3938662
0.79641855,1.6269753,0.38638287,0.043741816,0.079610188,0.044359577,0.075780439,1.5370038,2.0820025
0.83056472,1.8594024,0.39788835,0.03783202,0.0597271,0.017997425,0.053505103,1.4779019,2.2193599
0.74898848,2.0181714,0.33354979,0.037938815,0.063391966,0.014646693,0.086063055,0.75883398,1.9335369
0.95581424,1.2015675,0.45502258,0.045214644,0.020278288,0.028049477,0.045294684,1.2781566,2.5296956
0.73927128,1.5002882,0.34141334,0.034491877,0.01462432,0.024867152,0.050212523,0.45330379,1.90187
0.89361331,1.7482557,0.44835875,0.045546284,0.090367506,0.014586178,0.010295496,1.6564536,2.4174646
0.96012946,1.6721225,0.43418624,0.043645791,0.034041481,0.036996838,0.010427689,1.0948555,2.5544563
